CVE,total_rows,fn_count,fp_count,error_count,fn_ratio,fp_ratio,error_ratio
CVE-2022-24897,543,71,0,71,0.13075506445672191,0.0,0.13075506445672191
CVE-2022-24898,542,0,0,0,0.0,0.0,0.0
CVE-2022-24913,11,0,0,0,0.0,0.0,0.0
CVE-2022-25845,352,110,4,114,0.3125,0.011363636363636364,0.32386363636363635
CVE-2022-25857,36,0,0,0,0.0,0.0,0.0
CVE-2022-25867,51,1,0,1,0.0196078431372549,0.0,0.0196078431372549
CVE-2022-25914,31,1,11,12,0.03225806451612903,0.3548387096774194,0.3870967741935484
CVE-2022-28367,36,20,0,20,0.5555555555555556,0.0,0.5555555555555556
CVE-2022-29546,48,0,0,0,0.0,0.0,0.0
CVE-2022-29577,36,20,7,27,0.5555555555555556,0.19444444444444445,0.75
CVE-2022-29599,18,0,0,0,0.0,0.0,0.0
CVE-2022-29631,82,0,0,0,0.0,0.0,0.0
CVE-2022-32549,42,33,0,33,0.7857142857142857,0.0,0.7857142857142857
CVE-2022-34662,46,0,24,24,0.0,0.5217391304347826,0.5217391304347826
CVE-2022-36033,52,0,0,0,0.0,0.0,0.0
CVE-2022-38750,36,0,0,0,0.0,0.0,0.0
CVE-2022-38751,36,0,0,0,0.0,0.0,0.0
CVE-2022-38752,36,0,0,0,0.0,0.0,0.0
CVE-2022-39243,60,6,0,6,0.1,0.0,0.1
CVE-2022-40151,41,7,0,7,0.17073170731707318,0.0,0.17073170731707318
CVE-2022-41404,1,0,0,0,0.0,0.0,0.0
CVE-2022-41854,36,22,0,22,0.6111111111111112,0.0,0.6111111111111112
CVE-2022-41915,242,0,0,0,0.0,0.0,0.0
CVE-2022-41966,41,7,0,7,0.17073170731707318,0.0,0.17073170731707318
CVE-2022-42003,432,0,0,0,0.0,0.0,0.0
CVE-2022-42004,216,0,0,0,0.0,0.0,0.0
CVE-2022-42889,17,3,0,3,0.17647058823529413,0.0,0.17647058823529413
CVE-2022-4565,208,0,0,0,0.0,0.0,0.0
CVE-2022-45685,24,2,0,2,0.08333333333333333,0.0,0.08333333333333333
